Byte,Frequency
0,2312923
1,2548458
2,2931776
3,2503830
4,2883752
5,2462415
6,2846276
7,2371489
8,2815466
9,2332264
10,2782092
11,2285660
12,2742866
13,2237541
14,2698834
15,2200678
16,2673706
17,2145359
18,2612628
19,2106945
20,2583839
21,2080164
22,2545819
23,2034784
24,2511806
25,2000862
26,2478468
27,1967855
28,2442430
29,1932338
30,2419246
31,1903824
32,2397148
33,1867052
34,2353194
35,1840514
36,2331837
37,1816193
38,2303459
39,1787635
40,2281609
41,1768706
42,2246444
43,1764162
44,2228371
45,1717689
46,2190387
47,1683525
48,2176756
49,1667234
50,2154838
51,1653874
52,2140562
53,1637496
54,2101838
55,1609190
56,2090272
57,1591274
58,2060744
59,1579065
60,2051701
61,1553482
62,2019484
63,1542296
64,2015165
65,1524749
66,1976056
67,1514471
68,1977412
69,1498130
70,1956823
71,1478021
72,1938406
73,1456424
74,1918359
75,1461106
76,1905408
77,1442382
78,1881745
79,1425060
80,1882181
81,1415825
82,1850712
83,1403995
84,1840331
85,1404088
86,1828660
87,1378327
88,1820253
89,1360321
90,1802406
91,1359648
92,1790693
93,1346039
94,1769580
95,1333604
96,1776591
97,1325952
98,1743188
99,1317846
100,1741776
101,1316348
102,1725120
103,1297274
104,1713982
105,1283128
106,1698501
107,1289289
108,1696577
109,1267180
110,1677409
111,1256124
112,1676880
113,1254097
114,1664444
115,1240633
116,1660269
117,1247243
118,1631090
119,1235154
120,1629688
121,1218839
122,1616081
123,1218778
124,1614886
125,1205057
126,1597565
127,1196949
128,2305742
129,2568934
130,2950757
131,2536377
132,2921046
133,2498049
134,2898654
135,2456068
136,2874699
137,2412454
138,2859228
139,2386557
140,2834765
141,2335158
142,2810261
143,2298192
144,2798388
145,2254919
146,2772168
147,2219429
148,2752068
149,2192139
150,2729026
151,2146733
152,2709810
153,2121241
154,2673361
155,2104018
156,2657844
157,2063742
158,2636796
159,2040202
160,2612273
161,2011369
162,2574918
163,1996752
164,2553920
165,1976677
166,2521545
167,1940278
168,2499958
169,1921490
170,2470211
171,1922477
172,2446381
173,1875747
174,2418178
175,1847065
176,2397357
177,1834221
178,2369276
179,1812166
180,2339923
181,1793350
182,2313187
183,1761980
184,2299966
185,1740391
186,2272167
187,1726698
188,2247022
189,1703306
190,2221755
191,1681097
192,2213478
193,1659867
194,2181185
195,1647904
196,2150971
197,1626884
198,2129500
199,1616034
200,2118200
201,1593254
202,2082245
203,1585661
204,2070527
205,1564711
206,2044171
207,1533576
208,2032216
209,1521264
210,1998600
211,1503650
212,1978588
213,1506067
214,1958022
215,1469920
216,1947711
217,1448377
218,1915258
219,1444166
220,1898769
221,1423094
222,1879436
223,1407536
224,1877603
225,1393234
226,1842319
227,1382006
228,1820279
229,1369460
230,1809078
231,1350333
232,1798002
233,1333537
234,1765886
235,1327955
236,1752714
237,1309029
238,1732744
239,1290843
240,1721281
241,1276051
242,1698629
243,1270776
244,1682917
245,1261426
246,1669956
247,1237504
248,1660159
249,1229739
250,1637454
251,1221069
252,1627562
253,1210530
254,1609994
255,1195189
